Especie|Nombres vernáculo|Familia|Distribución|Descripción de la especie|Fenología|Usos 
Sacoglottis trichogyna   | Titor, Danto plomillo.    | Humiriaceae | Forma parte de la lista de árboles en peligro de extinción. Nicaragua hasta Panamá. En Costa Rica restringida mayormente a la parte norte de la vertiente caribe, 20-500 m. | Árbol  grande, del dosel, que alcanza 50 m de  altura y 150 cm de d.a.p. Tiene fuste recto y cilíndrico, gambas pequeñas, copa  redondeada y densa y ramas largas y colgantes.   Las ramas muy jóvenes y las  hojas en desarrollo son de color rosado pálido o pardo rojizo claro. La corteza es pardo grisácea o negruzca, lisa o escamosa y fisurada longitudinalmente; la  corteza interna es dura  y rosácea; se torna pardo rojiza al oxidarse. Huele a caña  de azúcar. La savia es incolora. Las hojas son simples, alternas, glabras y se  distribuyen en espiral; son elípticas, con el ápice acuminado, la base obtusa o  cuneada, el margen entero o aserrado dentado y en el envés hay dos nectarios  extraflorales basales, puntiformes y pardo negruscos. Las inflorescencias son  panículadas y axilares o subterminales, bracteadas, más cortas que las hojas. Las  flores son hermafroditas, actinomórficas, pediceladas, b lancuzcas, amarillentas o  cremo verdosas.   |  Flores observadas en agosto y setiembre, frutos en febrero, marzo y abril. |  Esta especie ha sido   muy apreciada por el valor de su madera que es muy pesada de calidad  media a alta y en las décadas pasadas, maderero s y finqueros la explotaron tanto, que hoy tristemente  forma parte de la lista de árboles en peligro de extinción. Los frutos del titor  dan de comer a muchas especies de aves grandes, entre ellas a las lapas. Madera utilizada en la fabricación de vigas, columnas, cerchas, pisos.
Senna Papillosa (Britton & Rose) H. S. Irwin & Barneby   | Candelillo, Vainillo, Caraito. | Fabaceae | De México a Colombia, Perú y Venezuela. En Costa Rica, bosque húmedo, muy húmedo y pluvial, 0-2100 m; Ambas vertientes de los principales sistemas orográficos; Vertiente Caribe, Llanuras de los Guatusos, San Carlos y Tortuguero, Baja Talamanca; Vertiente Pacífica, Valle Central, Pacífico Central, Península de Osa. | Arbusto o árbol pequeño, de 2-5 m. Tronco con ramitas glabras o pilosas; estípulas decíduas. Hojas paripinnadas, alternas, con 2 pares folíolos, de 10-23 x 3.6-9.5 cm, oblicuamente elípticos, obovados u ovado-elípticos, ápice acuminado, base obtusa a oblicua, el raquis de 1.5-4.5 cm, con una glándula cónica entre el primer par de folíolos, los pecíolos de 2.5-4 cm. Flores amarillas, amarillo-cremosas o amarillo-verdosas; los sépalos internos de 5.5-10 mm; los pétalos más largos de 1.2-2.3 cm. Inflorescencias racimos, de 1.5-9 cm, con 7-30 flores. Frutos de 20-40 x 0.7-1.1 cm, cilíndricos o algo obtusos angulados, las valvas muy densamente granuloso-papilosas, pardos o pardo-rojizos cuando maduros, los estípites de 5-20 mm. | Flores y frutos observados todo el año. | Sin datos.
Simarouba amara Aubl   | Aceituno    | Simaroubaceae   |  Belice hasta Brasil y las Antillas. En Costa Rica amplia, en  ambas vertientes, en la vertiente del pacífico de la parte central hacia el  suroeste, en climas húmedos a muy húmedos, 0 -500 m. En LS ocasion al  en bosques de secundarios o claros de bosque. | Árbol 5 -35 m de alto, Tronco cilíndrico sin gambas o  éstas pequeñas, Corteza externa lisa con dimunutas lenticelas, grisácea o  amarillenta; estípulas ausentes . Hojas imparipinnadas , alternas, folíolos 8 -25, 4.5 - 11(-15) × 1.5 -3.5 cm, oblongos a obovados, alternos sobre el raquis, ápice  redondeado, base asimétrica, verde oscuro en el haz y glaucas en el envés;  pecíolos 4 -8 cm de largo. Inflorescencias panículas hasta 40 cm. Flores 2 -3 mm  de largo, unisexuales, campanuladas, verdes; cáliz en forma de copa, con 5 - lóbulos; pétalos 5; estambres 10, en 2 anillos; ovario rudimentario, 5 -locular,  estigamas 5.Los Frutos son drupas, 1 -5 por flor, 1.5 -2 x 1 -1.5 cm, elipsoides,  anaranjadas, morad as o negras cuando maduras. Se reconoce fácil entre las  especies de hojas compuestas por sus foliolos verde brillantes el haz y  blanquecinos o glaucos en el envés, claramente asimétricos en la base y  redondeado en el ápice. Las diferencias de S. amara y S.  glauca no son muy  evidentes, o claras, esta última tiene al parecer hojas menor número de folíolos y  flores relativamente grandes.  | Sin datos. |  La planta tiene propiedades amebicidas, analgésicas,  antibacteriales, antihelmínticas, citotóxicas, emenagog as, eméticas, estomáquicas,  febrífugas, sudoríficas, tónicas y vermífugas; se ha usado medicinalmente en  casos de anemia, cólicos, disentería, dispepsia, fiebre, hemorragias internas,  inapetencia, leucemia, llagas, malaria, metrorragia y reumatismo. En Las   Guayanas preparan un tónico amargo, macerando la corteza y dejandola reposar  en ron, luego lo ingieren contra la disentería y la malaria; la infusión de la corteza  la administran como diurético, estomáquico, febrífugo, y la usan como remedio  contra las amebas, cólera, diarrea, disentería e indigestiones  (Florula, La selva.  2012).
Shizolobium parahyba  (Vell. ) S.F. Blake   | Gallinazo .  | Fabaceae Caesalpinioideae   |  En la Vertiente Pací fica y el Valle Central. Elevación entre 50 -900 m.   |  Árbol de 10 a 30 m de altura.Hojas bipinnadas, alternas, de 15 a 70 o más cm; pinnas opuestas, de 4 a 16 o más,  folíolos hasta 20 o más en la pinnas mayores, de 1.5 a 4 cm de lar go por 0.5 a 1 cm de ancho;  usualmente linear -oblongos.  Inflorescencias en panículas de 40 o más cm     Flores amarillas. Frutos en legumbres obovado -espatuladas, de más de 2 cm.   Se puede identificar por su corteza externa grisáceo -blanquecina, hojas con  pecíolos y ráquices, cuando frescos viscosos; flores amarillas    |  Flores observadas en noviembre. La floración aparentemente coincide cuando el árbol está defoliado.   |  Ornamental y maderable.
Sapium glandulos um (L.) Morong   | Yos  | Euphorbiaceae .  |  En la parte noroeste de las provincias de Guanacaste y Puntarenas  hasta el Valle Central y otras áreas de la vertiente del Pacífico. Elevación entre 0 -  1800 m, más frecuentre arrib a de los 1000 m.  |  Árbol hasta de 20 m de altura. Savia lechosa  abundante. Hojas simples, alternas, de 3.3 a 19.9 cm de largo y 1.7 a 7 cm de  ancho, de elípticas a obovadas, margen sinuado o aserrado -sinuado. Pecíolos con  2 glándul as en el ápice, cerca de la unión con la lámina.  Inflorescencias espigas  simples y terminales hasta de 22 cm.   Flores muy pequeñas, las femeninas en la bas e de la espiga y las masculinas  arriba. Frutos como cápsulas, generalmente 4 por espiga, piriformes, t riloculares y  dehiscentes.  Tronco con evidentes anillos, la savia blanca abundante en cualquier  corte de la planta y 2 glándulas en la base.   | Flores observadas de junio a agosto. Frutos observados de junio a  setiembre .  | La savia se ha usado  para cazar algunas aves canoras. También a ésta se  le ha d etectado actividad proteolítica. Este es el árbol que le dio el nombre a la  ciudadela "Los Yoses" ubicada en San Pedro de Montes de Oca, ya que  anteriormente existían muchos árboles de esta especie ahí.
Terminalia catappa   | Almendro de playa o Almendro indio | Combretaceae   | Originario del este de la  India, pero distribuido a través de los trópicos ya que sus semillas pueden viajar grandes distancias impulsadas por l a  corriente marina. En climas calientes es vital para refrescar el ambiente.   | Árbol que alcanza 15 m de alto. Las hojas son simples,  alternas, grandes y anchas, las cuales se agrupan al final de las ramas, cuando  las hojas enveje cen se ponen de color rojizo. Crece relativamente rápido. | Sin datos. | Ornamental y atrayente de fauna silvestre por sus frutos. Visitado por abejas.
Terminalia amazonia (J.F.Gmel.) Excel.   | Roble coral, amarillón. | Combretaceae  |  La especie se encuentra en cordilleras de Guanacaste, Tilarán,  Volcánica Central, Talamanca, Pacífico Central, sur y en zona norte y Caribe.   Crece en áreas  suavemente colinadas y planicies costeras, en suelos  ro jos u oscuros, profundos, derivados de  materiales aluviales o ígneos. También  en suelos arcillosos o pobres y arenosos,   Su distribución altitudinal varía de 40 -1200 m.s.n.m.   | Árbol alto emergente, que  alcanza los 70 m de alto 15 0 cm de dap. Tiene fuste  recto, con frecuencia acanalado. Un carácter de esta  especie es que conforme las ramas envejecen, el  extremo distal se curva hacia abajo. La corteza es  delgada, pardo grisáceo o amarilla. Savia incolora y no  tiene estipulas. Las ho jas son simples, con nectarios y  agrupadas al final de las ramitas, a veces parece un candelabro. | Florece entre febrero y abril mientras la fruta alcanza su madurez entre marzo y mayo.  | La madera es empleada para fabricar muebles, mangos de herramientas, entablados, cubiertas de botes, barcos, puentes, durmientes de ferrocarril, pisos y artículos torneados. La corteza contiene taninos y se utiliza para curtir y teñir pieles.
Tabeuia ochraceae   | Cortéz amarillo. | Bignoniaceae  | Se distribuye naturalmente desde Honduras hasta el norte de América del Sur. En Costa Rica se desarrolla en zonas secas y húmedas.   | Árbol caducifolio que alcanza hasta 15m de alto, de  copa extendida. Las hojas son co mpuestas, opuestas, foliolos pubescentes. Las  flores son de color amarillo intenso, agrupadas al final de las ramas. Sus frutos  son capsulas largas y delgadas que se abren longitudinalmente y liberan  numerosas semillas aladas que son dispersadas por el vie nto.  | La floración se da entre los meses de marzo a abril y los frutos entre mayo a junio.   | Ornamental.
Theobroma cacao   | Cacao | Malvaceae​  | Es originario de México y Centroamérica.   | Árbol que alcanza 7 m de alto, presenta un tronco principal, el  cual se ramifica a baja altura y extiende su copa. Las hojas son simples, alternas, grandes, de color verde claro y rojizo cuando  están tiernas. Las flores son pequeñas, de color morado, las cuales se presentan directamente en el tronco o en las ramas  gruesas. Los frutos se producen en el tronco y ramas gruesas. Son de color amarillo poseen una cascara dura. Dentro de ellos se encuentran múltiples  semillas  de color café, cubiertas de pulpa blanca de sabor agradable.   | La floración se da entre los meses de julio a agosto y los frutos entre septiembre a noviembre.   | Comestible, para atracción de fauna. Se utiliza como bebida en problemas  broncopulmonares y dérmi cos. La decocción de hojas y semillas es apta para el  asma, fiebre, pulmonía y tos. El aceite de la semilla sirve para cicatrizar heridas,  quemaduras, labios rojos. Las hojas en cataplasma como antisépticas en heridas.
Tetragastris panamensis (Engler) 0. Ktze.   | Canfín, Estaquillo   | Burseraceae   |  Belice hasta Venezuela, las Guayanas, Brasil  y Bolivia. En Costa Rica de amplia distribución en las  elevaciones medias a bajas de ambas ve rtientes, en climas de  húmedos a muy húmedos, aunque prefiere climas con  estacionalidad marcada; 0-700-800 m.   | Árboles, 15 -35 m de alto, Corteza externa pardo -rojiza,  escamosa, interna rojiza con un agradable olor a manga; savia r esinosa blanca o  lechosa. Hojas imparipinnadas, con 7 -9 folíolos, elípticos, oblongos u oblongo - lanceolados, 5 -21 x 4 -7.2 cm, ápice acuminado a abrupto acuminado, base obtusa  a asimétrica, en general glabros; peciólulos sin pulvinulos evidentes, margen  entero; pecíolos de 4 -14 cm de largo. Flores amarillentas o verdoso -amarillentas  (unisexuales); cáliz con 5 lóbulos, de 1 -1.5 mm de largo, cuculiforme; pétalos  (corola tubular), con 5 lóbulos, de 5 -5.5 mm de largo; estambres 10, de 1 mm de  largo, filamentos i nsertado en la base del disco; disco anular con 10 lóbulos; ovario  con 5 lóbulos, ovoide, con 5 lóculos; estilo 1, estigma con 5 lóbulos.  Inflorescencias son panículas, 3 -15 cm de largo, axilares. Frutos capsulares y  drupáceos, de 1.5 -2.5 x 1.5 x 3 cm, ovo ides o más o menos turbinados, con 2 -5  lóbulos, dehiscentes por (2 -)4-5 valvas, color rojo escarlata en su interior, rojos a  negros cuando maduros; pirenos (1 -)3-5, de 12 -13 mm de grosor, blancos, el  mesocarpo (pseudoarilo) rojizo tornándose blanco con la exposición (dehiscencia),  carnoso, jugoso, dulce y comestible. Se caracteriza por ser un árbol grande, la  corteza en árboles adultos es algo escamosa, lenticelada y la interna tiene un olor  muy particular y agradable a manga. A nivel vegetativo es a veces confundida con  el género  Protium, aunque sus hojas carecen de peciólulos pulvinados y el aroma  a trementina al ser estrujadas. Sus frutos son distintivos por su forma peculiar  turbinada   |  Flores observadas en junio y agosto; frutos en agosto y feb rero  |  La pulpa carnosa y jugosa que envuelve las semillas es  comestible y muy dulce. La corteza raspada o el aserrín mezclado con agua y  puesto en las botas de hule, es tradicionalmente usado en el campo para eliminar  los hongos de los pies ( yuyos, masamorra)  (Florula, La selva. 2012).
Trichillia martiana C.DC.   | Manteco   | Meliaceae   |  Ampliamente  distribuido en ambas vertientes.  Elevación entre 0 -1200 m.   | Árbol pequeño o hasta de 15 m de altura. Hojas imparipinnadas,  alternas, de 13 a 25 cm de largo. Folíolos opuestos o subopuestos, de 3 a 4 pares  de 7.8 a 17 cm de largo por 3.5 a 7.1 cm de ancho, oblanceolados o cuneiformes.  Hojas de glabras a pubescentes en la haz, escaso o densamente pubescentes o  glabras en el envés. Las hojas con los folíolos muy anchos en el centro.  Inflorescencias en panículas axilares, de 7 a 20 cm. Flores de 0.3 a 0.4 cm,  fragantes y amarillo -verdosas. Frutos cápsulas,  de 0.9 a 1.3 cm, ovoides o  globosas, dehiscentes por 3 valvas al madurar; con una pubescencia corta pardo  clara u obscura, color naranja o amarillenta al madurar, semillas con arilos rojos.  La pubescencia de los folíolos varía notablemente según la región  donde crece.  En sitios de climas más secos o calientes éstos son pubescentes o muy  pubescentes y en sitios muy húmedos son glabros. Este árbol se puede confundir  un poco con  T. hirta  pero el número, tamaño y pubescencia de las hojuelas de  T.  martiana  difieren notablemente, así como su corteza. Se encuentra en vegetación  caducifolia y subcaducifolia, en sitios húmedos y muy húmedos. Algunas veces se  le observa en suelos temporal o permanentemente innundados, cercano a cursos  de agua. La mayoría de las espec ies de  Trichilia  tienen semillas con arilos muy  vistosos que son muy apetecidos por las aves.   |  Flores observadas de enero a junio y también en octubre y noviembre. Frutos observados de marzo a julio   |  arborización para atraer fauna menor.
Trichospermum grewiifolium (A. Rich.) Kosterm   | Capulín Rojo,Jucó Rojo, Plomo.  | Malvaceae .  |  México tropical a Costa Rica y en las Antillas.   |  Arbol, 5 -30 m de alto, Tronco cilíndrico, Con  corteza lisa, Hojas simples, alternas, (6-) 13 -20 x (3 -) 6-7 (-9.5) cm,  ovado -laceoladas, con ápice acuminado y base redondeada,  margen distalmente aserrado -glandular, envés con una pubescencia blanquecina  densa de pelos estrellados, trinervadas y los terciarios escalariformes; pecíolos  1.0-1.4 ( -2.0) cm de largo. Inflorescencias panículas, axilares, (2.5 -) 3-6 cm de  largo. Flores (especie dioica), rosadas a blanco -rosadas; sépalos 5, (5 -) 6-7 mm  de largo, lanc eolados; pétalos 5, 4 -7 mm de largo, ligulados; estambres 15  (estaminodios en flores pistiladas). El Fruto es una cápsula, 10 -15 x 8 -20 x 2 mm,  obovada, comprimida lateralmente, con el truncado o emarginado, con  pubescencia densa pilosa de pelos estrellado s. Semillas 5 -13, 3 -6 mm de  diámetro, discoides, con tricomas ciliados  Se reconoce fácilmente por sus hojas  dísticas, trinervadas, glaucas o blanquecinas en el envés y frutos comprimidos  lateralmente, obcordados y denso pubescentes. Lo anterior permite di ferenciarla  de Goethalsia mientha con la cual podría ser confundida  (Florula, La selva. 2012). | Floración de enero a abril y fructificación de enero a mayo. | Arborización para atraer fauna menor.
Vochysia guatemalensis.   | Chancho, chancho blanco. | Vochysiaceae | Se encuentra  en cordilleras de Guanacaste, Tilarán, Volcánica central y Talamanca, el Pacífico sur y la zona  norte. El ámbito altitudinal es de 0 -1200 m.s.n.m. Crece muy bien cerca de ríos y  quebradas, en s uelos aluviales o arenosos. Se adapta muy bien a  diferentes sitios encontrándose en suelos limosos también ácidos, con pH de 5 -6 y  alta proporción de bauxita (Pérez, 1993). Con frecuencia se encuentra asociado a  otras especies Dipterix panamensis, Pentacle thra macroloba, Terminalia amazonia y Poulsenia armata. La especie se  encuentra en bosques secundarios y en bosques primarios.   | Árbol que alcanza hasta 45 m de altura y 150 cm de  dap El fuste es recto, cilíndrico, la corteza  es l isa de un color grisáceo claro y no  llega a formar gambas. La copa es redondeada y muy densa. Las hojas son  simples, coriáceas, obovadas, opuestas, con estípulas. La savia es incolora Las  flores son hermafroditas y de color amarillo. El fruto es una cápsul a loculicida, de  color pardo amarillento y las semillas son aladas, planas y de color pardo claro.  Los frutos son depredados por loras y pericos.   | La floración se da entre los meses de marzo a junio, además se dan  floraciones entre octubre y noviembre. Los frutos se maduran entre septiembre y octubre. Sin embargo esto varía de un árbol a otro   | Es utilizada en carpintería general, construcción interna, postes de cerca, formaleta, molduras, fósforos, papel entre otros.
Vochysia ferruginea  Mart   | Botarrama, Palo Mayo,  Chancho, Cebo   | Vochysiaceae   | Honduras hasta Perú y Brasil. En Costa Rica amplia, en ambas vertientes principalmente en  climas muy húmedos, 0 -700 m. En LS frecuente a común en claros o vegetación secundaria avanzada   | Arboles, 15 -40 m de alto,  Tronco con la corteza grisácea y lisa, gambas cortas; ramitas cuadrangulares,  ferrugíneo -pubescentes; estípulas presentes. Hojas simples, opuestas, 6.5 –16 x  2.5–4.5 cm, elípticas a lanceolado -elípticas, ápice acuminado a c audado, base  obtusa a cuneada, margen entero, envés ferrugíneo -pubescente; pecíolos 4 –10  mm de largo. Inflorescencias racemiformes, terminales, con muchas flores, hasta  15 cm de largo. Flores anaranjadas; cáliz con 5 lóbulos, uno en forma de espolón  alarga do y fuertemente recurvado; pétalos 3, espatulados, de 1 cm de largo;  estambre 1, estaminodios 2. Fruto una cápsula, 1.5 –3 x 0.7 –1, oblongo -ovoide,  triangular, algo verrucosa. Semillas aladas, 1.8 –2.5 cm de largo, el ala u nilateral y  con tricomas largos aplicados . Se reconoce por la peculiar arquitectura de su  copa, de semicirculo, aplanada arriba y las ramas todas saliendo en un ángulo de  35-40 grados a lo largo del tronco para alcanzar un nivel uniforme. Ramitas  cuandrangulares, ferrugíneo pubescentes, ho jas opuestas dísticas, estípulas  pequeñas pubescentes y nervadura de varias venas secundarias que se conectan  cerca del margen   | Flores observadas en mayo, junio; frutos en setiembre. Esta especie prolifera en bosques previamente perturbados y en ocasiones llega a formar rodales puros de tamaño considerable   |  La madera tiene un acabado final semejante a la madera del cedro  (Cedrela odorata. Meliaceae), pero de menor resistencia por ello se sugiere  mantenerla fuera del contacto con el a gua. Los indígenas Guaymi de Costa Rica,  utilizan la infusión de la corteza como febrífugo y vulnerario.
Vitex cooperi Standl   | Cuajada, Manú Blanco, Manú Platano, Manú Platano.    | Verbenaceae.   |  Se encuentra en la cordillera de Guanacaste y Tilarán, Pacífico central y sur así como en zona norte y Caribe, el ámbito de elevación de de 1 -1200 m.s.n.m.   |  Árbol  caudicifolio , que alcanza los 30 m de alto y 95 cm de dap. Tiene fuste recto y  aflautado en la base, copa redondeada. La corteza externa es pardo amarillenta o  blanquecina, no tiene estípulas y tiene savia incolora y amarga. Las  hojas son  trifoliadas compuestas y opue stas. Posee inflorescencias axilares pequeñas de  color azul lila. El fruto es una drupa elipsoide, carnosa y dulce. | Flores observadas de Marzo a Noviembre. Frutos observados de Julio a Septiembre. | Es comestible y se usa en construcción pesada y general, vigas, tableros aglomerados, barriles y mangos para herramientas.
Virola koschnyi Warb   | Fruta dorada   | Myristicaceae   | Guatemala hasta Panamá. En Costa Rica amplia, en ambas vertientes en climas húmedos a muy húmedos, 0 -1200 m. En LS frecuente a común   | Arboles, de 20 -40 m de alto. Tronco derecho, cilíndrico, gambas bien desarrolladas en árboles adultos; savia roja; ramitas con indumento  ferrugíneo de tricomas estrellados; estípulas ausentes. Hojas simples, alternas, 9 –28 (38)x 2.5 –10 (13.5)cm, oblongas, ápice agudo o abrupta y cortamente  acuminado, base redondeada a subcordada, con pubescencia de tricomas  estrellados densos en el envés, nervios secundarios de 18 -35 pares por lado,  margen entero; pecíolo 1.5 -2.3 cm de largo. Inflore scencias estaminadas en  panículas -racemosas, flores sin pétalos, de 3 -partes o tépalos de 1.5 -3.0 mm de  largo, anteras 3; flores pistiladas en 3 -7 racimos de 5 cm de largo, tépalos unidos y  ovario 1 -carpelar. Fruto drupáceo, 1 -5 por inflorescencia, 2 –3 x 1 .5–2.1 cm,  elipsoide, dehiscente en 2 -valvas, glabrescente y con diminutos tricomas  estrellados. Semilla subglobosa, con arilo lacinado. Se caracteriza y reconoce por  su tamaño gigante, tronco con gambas bien desarrolladas, las hojas largas, con la  base re dondeada a veces subcordada, con numerosas venas secundarias (18 -35  por lado) que forman una clara vena submarginal y la lámina con pubescencia  densa de pelos estrellados en el envés.   | Flores observadas en febrero.   | El arilo que envu elve las semillas es fuente importante de alimento  para varias aves. Esta es una de las especies más explotada y preferida en el país  para madera de contrachapado. La savia se usa para tratar afecciones cutáneas  (urticaria, ronchas). De las semillas se pue de extraer un aceite, para fabricar velas  y jabones. El mesocarpo de los frutos tiene propiedades antibióticas y  antimicóticas. El aceite de los arilos tiene actividad antibacteriana.  En Guatemala se colocan unas pocas gotas en agua, se agita y se hacen ga rgarismos, como  remedio para la amigdalitis. El exudado de la corteza tiene propiedades alucinógenas  (Florula, La selva. 2012).
Virola sebifera Aubl   | Cotón, Fruta Dorada, Miguelario   | Myristicaceae   |  Nicaragua hasta el sur de Brasil, Bolivia y Perú. En Costa Rica amplia, en ambas vertientes, en climas húmedos a muy húmedos, 0 -1200m .  | Arboles, 10 -30 m de alto. Tronco derecho o a veces curvado en la base, cilíndrico, corteza externa lisa; savia roja; estípulas ausentes.  Hojas simples, alternas, 8 –25 x 2.7 –9 cm, oblongas a angostamente oblongo - ovadas, ápice agudo a acuminado, base obtusa a truncada o subcordada, con una  pubescencia corta de tricomas estrella dos y glaucas o blanquecinas en el envés,  venas secundarias10 -28 por lado, margen entero; pecíolo 0.8 -2.5 cm de largo.  Inflorescencias estaminadas panículas con muchas flores, tépalos 3 -4, 1.5 –3 mm  de largo; anteras 3( -4); flores pistiladas solitarias o en  racimos de 3 -7 cm de largo;  ovario 1 -carpelar. Fruto drupáceo, 10 -30 por inflorescencia, 1.5 –3 x 1 -1.7 cm,  subgloboso a elipsoide, dehiscente en 2 -valvas, densamente rojizo -estrellado. Semilla subglobosa, el arilo lacinado. Se reconoce por su típica ramificación  verticilada, ramas largas y horizontales, hojas dísticas, con la base truncada o  redondeada, la lámina con el envés blanquecino y una pubescencia de pelos  estrellados cortos. A veces confundida con  V. koschnyi,  pero los árboles de  V.  sebifera  desar rollan menor altura y diámetro, las hojas en general tienen la base  truncada, las venas secundarias más distantes entre si y no formando una vena  submarginal evidente cerca al margen, a veces glaucas en el envés   | Sin datos. | Beneficiosa para el café: rovee de sombra rala a media en forma de cono al inicio luego en cono en edad adulta. Las flores son visitadas por abejas y otros insectos. Las semillas son dispersadas por animales, principalmente por monos, tucanes y pavas que se alimentan del arilo. Aves insectívoras y fruteras, aves en las familias Trogonidae, Motmotidae, Ramphastidae, Cotingidae, y Turdidae usan el árbol. Es fácil de trabajar con cualquier tipo de herramienta, quedando un buen pulido debido a que la superficie es brillante, son aprovechados en mueblería común, contrachapados, y construcción. Indígenas de la Amazonía en América del Sur preparan un alucinógeno a partir de la corteza, el cual es empleado en ceremonias religiosas. El aceite se utiliza para la elaboración de velas y jabón. Elaborar palos de escoba.  En Las Guayanas usan la savia  como vulnerario y para tratar  afecciones cutáneas; ésta pulverizada la colocan en los dientes cariados como  remedio para la odontalgia; de la misma forma cauterizan las úlceras bucales. La  decocción de la corteza la utilizan como emético y estimulante; el  líquido producto  del remojo y reposo de ésta en agua, es ingerido contra la diarrea  (Florula, La selva. 2012).
Vismia Ferruginea Kunth   | Moncu ine, l acre, punta de lanza.   | Clusiaceae.   |  Nativa de América  central. En Costa Rica s e encuent ra  en cordillera de Tilarán, Volcánica central y Talamanca, el Pacífico sur y la zona norte. El ámbito altitudinal es de 50-1400 m.s.n.m.  (Berry et al. 2004 ).  |  Árbol que alcanza los  10-15 m  de al to, la c orteza  es  densamente fisurada , copa p iramidal , ramas con indumento café oscuro, hojas  simples, opuestas de peciolo puberulo, limbo ovado lanceolado, de 12 - 15 cm. de  largo, por 7 - 10 de ancho, puberulo café en el envés, con puntos negros, haz  glabros, con las nervaduras cubiertas de pequeños tricomas blanquecinos  sin  estípulas . Las yemas y parte terminal de las ramas están recubiertas de un  indumento café oscuro.  Las f lores son blancas y  pequeñas en inflorescencias  terminales y subterminales.  Los frutos  son de color verde o amarillo verdoso,   parecidos a tomaticos de 15 milímetros de diámetro, con abundantes semillas .  Tiene l átex anaranjado .  | Florece en los meses de mayo a julio  y sus frutos son observados en agosto hasta noviembre.    | Se utiliza para hacer tintes . Es una especie utilizada en carpintería y la corteza, que es fuerte, se ha usado para techar casas , (Echavarría, 1987).
Zanthoxylum sp.   | Lagartillo, lagarto amarillo.  | Rutaceae | Se encuentra  en cordilleras de Guanacaste, Tilarán, Volcánica central y Talamanca, el Pacífico sur y la zona norte. El ámbito altitudinal es de 0 -1700 m.s.n.m. Es una especie riparia.   | Árbol que alcanza hasta 30m de altura y 100 cm de dap  El fuste es recto y con aguijones cónicos, la corteza  es pardo amarillenta, pardo  grisácea y aromática. Las hojas son compuestas, imparipinnadas, alternas, sin   estípulas. Las flores son unisex uales. El fruto es un folículo verrugoso, que  contiene semillas  de color pardo oscuro y brillantes.   | La floración se da entre los meses de febrero a junio y los frutos entre julio a agosto.   | Se utiliza en  construcción general, interna, carpintería y ebanistería.
Zygia longifolia   | Sotacaballo. | Fabaceae  | En Costa Rica se encuentra en la Cordillera Volcánica Central, el Pacífico norte, central y sur, la zona Norte y la zona del Caribe. El ámbito de  elevación varía de 0 -1200 m.s.n.m; en l os bosques seco tropical y húmedo tropical. Es un árbol estrictamente ripario, debido a que se ha adaptado a  sobrevivir justo en las orillas de las quebradas y de los ríos más caudalosos de las llanuras.   | protege las orillas de lo s ríos de la erosión durante las  inundaciones. Árbol de 10 a 20m  con flores rosadas a púrpuras.   | Florece de marzo a agosto y sus frutos de septiembre a noviembre.   | Ornamental, protección de ríos.
Syzygium malaccense | Manzana de agua | Myrtaceae | Originario de Asia, pero ampliamente distribuido en las regiones tropicales. Es muy adaptable en términos de clima y suelos, sobre todo en regiones bajas y medias.   | Árbol que alcanza hasta 20 m de alto, su copa es amplia, redondeada y densa. Las hojas son simples, opuestas, grandes y  brillantes. Sus flores son moradas, con muchos estambres de color escarlata. Sus frutos son bayas rosadas, púrpuras o rojas, globosas, con una pulpa blanca muy  jugosa, sabrosa y refrescante, comidos por la fauna silvestre.   | La floración se da entre los meses de julio a agosto y los frutos entre  septiem bre a octubre.   | Comestible y ornamental. La decocción de la corteza se utiliza para tratar la candidiasis. Una preparación de la raíz es un remedio para la picazón. La raíz  actúa como diurética y se administra para aliviar el edema. La corteza de la raíz sirve como abortivo. La corteza y las hojas han demostrado actividad antibiótica y tienen algún efecto sobre la presión arterial y la respiración.
